variant_name,score_name,heldout_subject,feature,feature_group,weight,n_subject_components_removed
v2B_gated_aperiodic_top5,v2_metric,sub-AbzsOg,motor_stn_opposite_task_side_gamma_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-AbzsOg,motor_stn_opposite_task_side_high_beta_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-AbzsOg,motor_stn_opposite_task_side_low_beta_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-AbzsOg,motor_stn_right_alpha_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-AbzsOg,motor_stn_right_broad_beta_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-AbzsOg,motor_stn_right_gamma_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-AbzsOg,motor_stn_right_high_beta_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-AbzsOg,motor_stn_right_low_beta_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-AbzsOg,motor_stn_task_side_alpha_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-AbzsOg,motor_stn_task_side_broad_beta_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-AbzsOg,motor_stn_task_side_gamma_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-AbzsOg,motor_stn_task_side_high_beta_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-AbzsOg,motor_stn_task_side_low_beta_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,meg_alpha_power,MEG_motor_power_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,meg_low_beta_power,MEG_motor_power_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,meg_high_beta_power,MEG_motor_power_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,meg_broad_beta_power,MEG_motor_power_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,meg_gamma_power,MEG_motor_power_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,motor_alpha_power,MEG_motor_power_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,motor_low_beta_power,MEG_motor_power_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,motor_high_beta_power,MEG_motor_power_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,motor_broad_beta_power,MEG_motor_power_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,motor_gamma_power,MEG_motor_power_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,stn_alpha_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,stn_low_beta_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,stn_high_beta_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,stn_broad_beta_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,stn_gamma_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,stn_left_alpha_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,stn_left_low_beta_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,stn_left_high_beta_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,stn_left_broad_beta_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,stn_left_gamma_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,stn_right_alpha_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,stn_right_low_beta_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,stn_right_high_beta_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,stn_right_broad_beta_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,stn_right_gamma_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,motor_stn_low_beta_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,motor_stn_high_beta_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,motor_stn_broad_beta_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,alpha_coupling_index,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,beta_coupling_asymmetry,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,beta_coupling_index,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,cortico_stn_coupling_index,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,gamma_coupling_asymmetry,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,gamma_coupling_index,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,motor_stn_alpha_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,motor_stn_alpha_coupling_asymmetry,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,motor_stn_broad_beta_coupling_asymmetry,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,motor_stn_gamma_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-FIyfdR,motor_stn_gamma_coupling_asymmetry,coupling,1.0,0
