permutation_index,top1,mrr
158,0.3,0.4050870717975981
159,0.2333333333333333,0.3693415482579569
160,0.3,0.4409377468936293
161,0.3,0.4232287755817168
162,0.2333333333333333,0.3583250184914271
163,0.2333333333333333,0.388447692658219
164,0.3333333333333333,0.4361762121320944
165,0.2666666666666666,0.378752464855406
166,0.2666666666666666,0.4221593820123231
167,0.2666666666666666,0.4342534589593413
168,0.4333333333333333,0.5497556249220336
169,0.2666666666666666,0.3795580808080808
170,0.2,0.3900319723849135
171,0.1666666666666666,0.330249023851965
172,0.3,0.4138800360859185
173,0.3666666666666666,0.5011783260312672
174,0.3,0.4440771864301276
175,0.2333333333333333,0.3604960915990328
176,0.2666666666666666,0.3871142882172294
177,0.3,0.452067991920933
178,0.3666666666666666,0.4445779819309231
179,0.3,0.4578087326616738
180,0.2666666666666666,0.397463614816556
181,0.3,0.4208895407424819
182,0.2333333333333333,0.3713516712046124
183,0.3666666666666666,0.4752812601342013
184,0.2333333333333333,0.4067555538143773
185,0.2666666666666666,0.4060504909034321
186,0.2333333333333333,0.3654518303047715
187,0.3,0.4146548787183462
188,0.3,0.4119068567597979
189,0.3333333333333333,0.4753992303992304
190,0.3666666666666666,0.4742009978039389
191,0.4,0.5212904959963783
192,0.3333333333333333,0.4553685203685203
193,0.3,0.4202098500627913
194,0.3666666666666666,0.4657032129090953
195,0.2,0.3576240562269974
196,0.2666666666666666,0.4090746290746291
197,0.2333333333333333,0.3553135698723934
198,0.2333333333333333,0.3694690304249127
199,0.4,0.5135073858603271
200,0.3666666666666666,0.5005863254392666
201,0.2666666666666666,0.394913109766051
202,0.3666666666666666,0.4743057405557406
203,0.3,0.4303778574366809
204,0.2333333333333333,0.3931329454858866
205,0.2,0.3600387711417123
206,0.1333333333333333,0.2911815635345048
207,0.3,0.4093043340102164
208,0.2666666666666666,0.4050515035073859
209,0.2333333333333333,0.3695048415636651
210,0.3,0.4116176980341067
211,0.3333333333333333,0.4363060380165643
212,0.3,0.4240986790986791
213,0.3666666666666666,0.4869214717744129
214,0.2666666666666666,0.4242891966421379
215,0.2666666666666666,0.4109338020367432
216,0.3,0.4023922509951922
217,0.3333333333333333,0.4482525617084441
218,0.2333333333333333,0.3704053299641535
219,0.4,0.5555272505272505
220,0.3333333333333333,0.4981085254614666
221,0.2666666666666666,0.4191831915361327
222,0.2666666666666666,0.4263779412308824
223,0.2666666666666666,0.426947556800498
224,0.2333333333333333,0.3627460964960965
225,0.3333333333333333,0.4258335183335183
226,0.4333333333333333,0.5530598704128116
227,0.2333333333333333,0.3695459905018728
228,0.2,0.3602770051299462
229,0.3333333333333333,0.4865438231072906
230,0.3,0.4219378905408317
231,0.2666666666666666,0.4013525037054448
232,0.4,0.4810065533594945
233,0.3333333333333333,0.484007104007104
234,0.4333333333333333,0.505402402608285
235,0.3666666666666666,0.5090519937578761
236,0.3333333333333333,0.4486432684962096
237,0.2666666666666666,0.4059874656933481
238,0.2666666666666666,0.4214554563083975
239,0.3333333333333333,0.4578877875936699
240,0.3666666666666666,0.5083248695748696
241,0.2666666666666666,0.3902017100546512
242,0.2666666666666666,0.4092784530284529
243,0.3333333333333333,0.4526823176823177
244,0.2666666666666666,0.4296352258852259
245,0.3333333333333333,0.4474086697616109
246,0.1666666666666666,0.3302647162205986
247,0.4,0.5174518537018538
248,0.3333333333333333,0.4742536439595263
249,0.2,0.3593220804250216
250,0.3333333333333333,0.446397518603401
251,0.2333333333333333,0.3691559040088452
252,0.2666666666666666,0.4091534391534392
253,0.3333333333333333,0.4949349397878809
254,0.2666666666666666,0.377269595872537
255,0.2666666666666666,0.3643012815071638
256,0.3333333333333333,0.4506270853329677
257,0.2666666666666666,0.4126310535869359
258,0.3,0.4337171162171162
259,0.2333333333333333,0.3813259235318059
260,0.2,0.345000429853371
261,0.2666666666666666,0.4460437077542341
262,0.3,0.4278014543649219
263,0.2,0.3660684223184223
264,0.3,0.4172808346337758
265,0.2666666666666666,0.4070395018924431
266,0.2666666666666666,0.3932373454432278
267,0.2,0.3691226658331921
268,0.3,0.4548802687966775
269,0.4,0.5187512623542035
270,0.2666666666666666,0.3844347591406415
271,0.2333333333333333,0.362136577302986
272,0.2666666666666666,0.4049890523419935
273,0.2333333333333333,0.3581314001902237
