permutation_index,random_label_top1,random_label_mrr,matched_task_side_top1,matched_task_side_mrr
2678,0.0303030303030303,0.1865851320396774,0.0606060606060606,0.3197330447330447
2679,0.0,0.1737365328274419,0.0,0.3398027898027898
2680,0.0,0.1801236642145733,0.0,0.3029341029341029
2681,0.0,0.1544783499328954,0.0303030303030303,0.2937360619178801
2682,0.0303030303030303,0.1810517765063219,0.0606060606060606,0.3124819624819624
2683,0.0606060606060606,0.2123066327611781,0.0909090909090909,0.315657658839477
2684,0.0303030303030303,0.195854229945139,0.0303030303030303,0.3135882635882636
2685,0.0,0.1489847694393148,0.0303030303030303,0.3207201889020071
2686,0.0606060606060606,0.1982136550318368,0.0,0.2604256854256854
2687,0.0303030303030303,0.1902895925623198,0.0303030303030303,0.2986892736892736
2688,0.0303030303030303,0.1854160990524627,0.0303030303030303,0.3319745069745069
2689,0.0,0.1560058628240446,0.0,0.2956469456469456
2690,0.0303030303030303,0.1803783758329212,0.0303030303030303,0.3087421837421837
2691,0.0606060606060606,0.207189023098114,0.0303030303030303,0.2920645852464034
2692,0.0303030303030303,0.1991126718399445,0.0303030303030303,0.294035594035594
2693,0.0,0.1474819793001611,0.0606060606060606,0.3193482443482443
2694,0.0,0.1658649431376704,0.0303030303030303,0.2787660151296515
2695,0.0303030303030303,0.1834188538733993,0.0606060606060606,0.3226671476671476
2696,0.0,0.1639059593605048,0.0,0.3023929773929774
2697,0.0606060606060606,0.2237424191969646,0.0,0.2621933621933621
2698,0.0303030303030303,0.1784299875208966,0.0303030303030303,0.3140703572521754
2699,0.0303030303030303,0.2218125309034399,0.0606060606060606,0.2957792207792208
2700,0.0303030303030303,0.2074481915391006,0.0,0.2638407888407888
2701,0.0,0.1566741339468612,0.0606060606060606,0.4035353535353535
2702,0.0303030303030303,0.1736443690989145,0.0303030303030303,0.3047017797017797
2703,0.0303030303030303,0.1884027588573043,0.0303030303030303,0.2856180856180855
2704,0.0909090909090909,0.2247645452190906,0.0606060606060606,0.3032117713935895
2705,0.0303030303030303,0.2084323925233016,0.0606060606060606,0.321055796055796
2706,0.0303030303030303,0.1898450034813671,0.0,0.2561207311207311
2707,0.0,0.16684990094081,0.0,0.3103185535003717
2708,0.0,0.1637317228226318,0.0909090909090909,0.3472462722462722
2709,0.0,0.1606490311035765,0.0303030303030303,0.3058201058201058
2710,0.0,0.1923808514717605,0.0303030303030303,0.3333333333333333
2711,0.0,0.1603807808353263,0.0303030303030303,0.2813612313612313
2712,0.0,0.1710578983306256,0.0606060606060606,0.3274290524290524
2713,0.0909090909090909,0.2336360609087882,0.0606060606060606,0.3286435786435786
2714,0.0303030303030303,0.1906845679572952,0.0303030303030303,0.2935786435786435
2715,0.0606060606060606,0.2096560005650914,0.0909090909090909,0.3400214263850626
2716,0.0606060606060606,0.2005544960090414,0.0303030303030303,0.3054954304954305
2717,0.0909090909090909,0.2389059593605048,0.0909090909090909,0.3333814333814334
2718,0.0606060606060606,0.2049323572050844,0.0303030303030303,0.3234017665835847
2719,0.0303030303030303,0.1986702691248145,0.0303030303030303,0.3252164502164502
2720,0.0303030303030303,0.1899131171858444,0.0606060606060606,0.3104858104858105
2721,0.0,0.1622785463694554,0.0303030303030303,0.2919432419432419
2722,0.0,0.1650967719149537,0.0606060606060606,0.3248677248677248
2723,0.0303030303030303,0.1904670245579336,0.0,0.3086219336219336
2724,0.0,0.1540446926810563,0.0303030303030303,0.2989417989417989
2725,0.0606060606060606,0.2231010571919662,0.0606060606060606,0.3168590668590669
2726,0.0606060606060606,0.2202551657097111,0.0606060606060606,0.3159582841401023
2727,0.0,0.1640283958465776,0.0303030303030303,0.3423761423761423
2728,0.0,0.1552431575158847,0.0303030303030303,0.2793541475359657
2729,0.0303030303030303,0.1934484707211979,0.0303030303030303,0.3142977392977393
2730,0.0606060606060606,0.2177146086236995,0.0303030303030303,0.3097162097162096
2731,0.0303030303030303,0.1883750088295542,0.0303030303030303,0.325998075998076
2732,0.0303030303030303,0.1855196991560627,0.0606060606060606,0.3468975468975468
2733,0.0,0.1846130300675755,0.0606060606060606,0.315298001661638
2734,0.0,0.1627180899908172,0.0303030303030303,0.2961880711880711
2735,0.0303030303030303,0.2041496382405473,0.0,0.3165343915343915
2736,0.0303030303030303,0.1914290255199346,0.0303030303030303,0.2800767414403777
2737,0.0,0.1726831249558522,0.0303030303030303,0.3153559403559403
2738,0.0303030303030303,0.1907526816617725,0.0303030303030303,0.2957671957671958
2739,0.0,0.1479480115843752,0.0303030303030303,0.3044853294853294
2740,0.0909090909090909,0.244859433495797,0.0303030303030303,0.2758428440246622
2741,0.0,0.1483659438204892,0.0303030303030303,0.3008187940006122
2742,0.0909090909090909,0.2366893207802298,0.0,0.3107875289693471
2743,0.0303030303030303,0.1834094356821629,0.0,0.3107623857623857
2744,0.0,0.1575027665936756,0.0303030303030303,0.275674493856312
2745,0.0,0.1637758705940524,0.0303030303030303,0.3085257335257335
2746,0.0303030303030303,0.1930564385109839,0.0303030303030303,0.2822762254580436
2747,0.0303030303030303,0.2125467966377057,0.0303030303030303,0.2882286064104246
2748,0.0,0.1589764612491885,0.0909090909090909,0.3108717040535222
2749,0.0303030303030303,0.1899491922219194,0.0,0.289033189033189
2750,0.0606060606060606,0.2040446926810563,0.0303030303030303,0.3145502645502646
2751,0.0303030303030303,0.1855819264910174,0.0303030303030303,0.2874819624819625
2752,0.0,0.1856784629511902,0.0606060606060606,0.3326839826839827
2753,0.0,0.1538380811108083,0.0909090909090909,0.3519852201670383
2754,0.0303030303030303,0.1893851098396552,0.0303030303030303,0.3125431807249988
2755,0.0,0.167496644769372,0.0606060606060606,0.3005782937601119
2756,0.0,0.1645793600339054,0.0606060606060606,0.3110280292098474
2757,0.0303030303030303,0.1842672479036115,0.0606060606060606,0.2891534391534391
2758,0.0,0.1542840997386451,0.0606060606060606,0.3257335257335257
2759,0.0,0.1893374302465211,0.0606060606060606,0.3265993265993265
2760,0.0303030303030303,0.2044783499328954,0.0606060606060606,0.3587421837421837
2761,0.0303030303030303,0.1857994698903789,0.0303030303030303,0.2889971139971139
2762,0.0303030303030303,0.1903722540086176,0.0,0.2625552057370239
2763,0.0,0.1556057578784851,0.0909090909090909,0.3101862783680965
2764,0.0,0.1676326199053472,0.0,0.3063623245441427
2765,0.0606060606060606,0.2200226541135631,0.0,0.2801226551226551
2766,0.0,0.1879650652377925,0.0606060606060606,0.3252405002405003
2767,0.0,0.1712852803761894,0.0606060606060606,0.3501683501683502
2768,0.0303030303030303,0.1977643568552659,0.0303030303030303,0.3147186147186147
2769,0.0303030303030303,0.1974156315065405,0.0,0.3297739297739297
2770,0.0,0.1841411114138386,0.0606060606060606,0.3132756132756132
2771,0.0303030303030303,0.1929241633787088,0.0303030303030303,0.331974506974507
2772,0.1212121212121212,0.2674872265781357,0.0,0.2913310595128777
2773,0.0303030303030303,0.1780673871582962,0.0,0.2793902225720407
