bootstrap_index,n_subjects_sampled,n_query_rows,v2_top1,v2_mrr,v2_percentile_rank,v2A_top1,v2A_mrr,v2A_percentile_rank,delta_top1_v2A_minus_v2,delta_mrr_v2A_minus_v2,delta_percentile_rank_v2A_minus_v2
120,17,34,0.8823529411764706,0.928921568627451,0.934640522875817,0.9411764705882353,0.9583333333333334,0.9411764705882353,0.05882352941176472,0.02941176470588236,0.006535947712418277
121,17,34,0.7058823529411765,0.8159313725490196,0.874777183600713,0.8529411764705882,0.8958333333333333,0.9003267973856209,0.1470588235294117,0.07990196078431366,0.025549613784907943
122,17,33,0.8181818181818182,0.8838383838383838,0.8703703703703703,0.8787878787878788,0.914141414141414,0.8787878787878788,0.06060606060606055,0.030303030303030276,0.008417508417508435
123,17,32,0.71875,0.8072916666666667,0.7471590909090909,0.75,0.8229166666666667,0.75,0.03125,0.015625,0.0028409090909090606
124,17,34,0.9117647058823529,0.9360294117647059,0.9548425430778371,0.9411764705882353,0.9522058823529411,0.9624183006535948,0.02941176470588236,0.016176470588235237,0.00757575757575768
125,17,33,0.7878787878787878,0.8684343434343433,0.9326599326599326,0.9090909090909091,0.9356060606060606,0.9579124579124579,0.12121212121212122,0.06717171717171722,0.025252525252525304
126,17,31,0.7096774193548387,0.7924731182795698,0.8261648745519713,0.7741935483870968,0.8333333333333333,0.8494623655913978,0.06451612903225801,0.04086021505376347,0.023297491039426466
127,17,33,0.9393939393939394,0.9696969696969697,0.9938781756963575,1.0,1.0,1.0,0.06060606060606055,0.030303030303030276,0.006121824303642498
128,17,34,0.6176470588235294,0.7245098039215686,0.80718954248366,0.7352941176470589,0.7941176470588235,0.8464052287581699,0.11764705882352944,0.06960784313725488,0.03921568627450989
129,17,32,0.71875,0.8203125,0.8033459595959597,0.8125,0.8671875,0.8125,0.09375,0.046875,0.009154040404040331
130,17,33,0.6666666666666666,0.7797979797979798,0.8322620140801958,0.8181818181818182,0.8585858585858587,0.8619528619528619,0.1515151515151516,0.07878787878787885,0.02969084787266607
131,17,34,0.6764705882352942,0.7813725490196078,0.832293523469994,0.7941176470588235,0.8480392156862745,0.8627450980392156,0.11764705882352933,0.06666666666666665,0.03045157456922165
132,17,33,0.7575757575757576,0.8434343434343435,0.8552188552188552,0.8181818181818182,0.8838383838383838,0.8720538720538721,0.06060606060606066,0.04040404040404022,0.01683501683501687
133,17,34,0.7647058823529411,0.8651960784313725,0.914587046939988,0.9117647058823529,0.943627450980392,0.9379084967320261,0.1470588235294118,0.07843137254901955,0.023321449792038096
134,17,33,0.8787878787878788,0.9393939393939394,0.9871441689623508,1.0,1.0,1.0,0.12121212121212122,0.06060606060606055,0.012855831037649201
135,17,33,0.6666666666666666,0.7904040404040403,0.7935414753596571,0.7878787878787878,0.8560606060606061,0.8148148148148149,0.12121212121212122,0.06565656565656575,0.021273339455157747
136,17,33,0.7878787878787878,0.8762626262626262,0.9147535965717783,0.9090909090909091,0.941919191919192,0.936026936026936,0.12121212121212122,0.06565656565656586,0.021273339455157636
137,17,33,0.8484848484848485,0.9116161616161615,0.9259259259259259,0.9393939393939394,0.9570707070707071,0.9393939393939394,0.09090909090909094,0.045454545454545525,0.013468013468013518
138,17,34,0.7352941176470589,0.842892156862745,0.9315210932857991,0.9117647058823529,0.9375,0.9591503267973858,0.17647058823529405,0.09460784313725501,0.027629233511586637
139,17,33,0.6060606060606061,0.7398989898989898,0.6835016835016835,0.696969696969697,0.7853535353535352,0.696969696969697,0.09090909090909094,0.045454545454545414,0.013468013468013518
140,17,32,0.71875,0.8330729166666666,0.9278724747474747,0.90625,0.93359375,0.9565972222222222,0.1875,0.10052083333333339,0.028724747474747514
141,17,33,0.8787878787878788,0.918939393939394,0.9494949494949495,0.9393939393939394,0.9507575757575758,0.9612794612794613,0.06060606060606066,0.03181818181818186,0.011784511784511786
142,17,33,0.6666666666666666,0.7825757575757576,0.8114478114478114,0.7878787878787878,0.8497474747474748,0.8367003367003367,0.12121212121212122,0.06717171717171722,0.025252525252525304
143,17,33,0.6060606060606061,0.723989898989899,0.7851239669421487,0.7272727272727273,0.7941919191919191,0.81986531986532,0.12121212121212122,0.07020202020202015,0.034741352923171265
144,17,31,0.6451612903225806,0.793010752688172,0.8841642228739003,0.8387096774193549,0.9059139784946236,0.924731182795699,0.19354838709677424,0.11290322580645162,0.040566959921798706
145,17,33,0.6363636363636364,0.7878787878787878,0.8435873890419345,0.8484848484848485,0.898989898989899,0.8754208754208754,0.21212121212121215,0.11111111111111116,0.0318334863789409
146,17,34,0.7647058823529411,0.8575980392156862,0.934194890077243,0.9117647058823529,0.9375,0.9591503267973858,0.1470588235294118,0.07990196078431377,0.024955436720142776
147,17,33,0.696969696969697,0.8154040404040404,0.8692990511172329,0.8787878787878788,0.9078282828282829,0.9006734006734006,0.18181818181818177,0.09242424242424252,0.03137434955616769
148,17,34,0.7647058823529411,0.8651960784313725,0.9139928698752229,0.9117647058823529,0.943627450980392,0.9379084967320261,0.1470588235294118,0.07843137254901955,0.023915626856803263
149,17,34,0.7058823529411765,0.8186274509803921,0.8529411764705882,0.8235294117647058,0.8872549019607843,0.8758169934640523,0.11764705882352933,0.06862745098039214,0.022875816993464082
150,17,33,0.7878787878787878,0.8734848484848484,0.9389348025711662,0.9393939393939394,0.9507575757575758,0.9612794612794613,0.1515151515151516,0.07727272727272738,0.02234465870829505
151,17,34,0.8529411764705882,0.9066176470588235,0.9477124183006536,0.9411764705882353,0.9522058823529411,0.9624183006535948,0.08823529411764708,0.045588235294117596,0.014705882352941235
152,17,33,0.7272727272727273,0.845959595959596,0.9074074074074073,0.9090909090909091,0.941919191919192,0.936026936026936,0.18181818181818177,0.09595959595959602,0.028619528619528656
153,17,33,0.7878787878787878,0.8684343434343433,0.9338842975206613,0.9090909090909091,0.9356060606060606,0.9579124579124579,0.12121212121212122,0.06717171717171722,0.02402816039179667
154,17,33,0.8484848484848485,0.9037878787878788,0.9427609427609429,0.9393939393939394,0.9507575757575758,0.9612794612794613,0.09090909090909094,0.046969696969696995,0.01851851851851838
155,17,31,0.8387096774193549,0.9005376344086021,0.9200065167807103,0.9032258064516129,0.9381720430107526,0.931899641577061,0.06451612903225801,0.037634408602150504,0.01189312479635063
156,17,33,0.7272727272727273,0.8333333333333334,0.8558310376492194,0.8484848484848485,0.8989898989898989,0.8754208754208754,0.12121212121212122,0.06565656565656552,0.019589837771656016
157,17,31,0.6451612903225806,0.7900537634408601,0.9074617139133269,0.8709677419354839,0.9153225806451613,0.9516129032258065,0.22580645161290325,0.12526881720430116,0.04415118931247963
158,17,33,0.6363636363636364,0.7393939393939394,0.724517906336088,0.696969696969697,0.7727272727272727,0.7407407407407407,0.06060606060606066,0.033333333333333326,0.016222834404652664
159,17,32,0.75,0.8515625,0.9027777777777778,0.875,0.9244791666666667,0.9305555555555556,0.125,0.07291666666666674,0.02777777777777779
160,17,34,0.6176470588235294,0.7397058823529411,0.775103980986334,0.7352941176470589,0.8063725490196079,0.803921568627451,0.11764705882352944,0.06666666666666676,0.02881758764111697
161,17,34,0.6764705882352942,0.8284313725490196,0.9533571004159239,0.9411764705882353,0.9705882352941176,0.9934640522875817,0.2647058823529411,0.1421568627450981,0.0401069518716578
162,17,33,0.696969696969697,0.8103535353535354,0.8709825528007347,0.8484848484848485,0.8926767676767676,0.8973063973063973,0.1515151515151515,0.08232323232323224,0.026323844505662608
