symptom,laterality,primary_target,component,feature_kind,feature_column,raw_response_column,percent_response_column,off_severity_column,n_raw,raw_response_spearman_r,raw_response_spearman_p,n_percent,percent_response_spearman_r,percent_response_spearman_p,n_off,off_severity_spearman_r,off_severity_spearman_p,n_partial_raw,partial_raw_response_controlling_off_r,n_partial_percent,partial_percent_response_controlling_off_r,raw_response_sign,percent_response_sign,off_severity_sign,raw_vs_percent_sign_flip,baseline_severity_opposite_percent_pattern,raw_response_spearman_p_fdr_q,percent_response_spearman_p_fdr_q,off_severity_spearman_p_fdr_q
AR,contralateral,True,compact_v2a_transition,oriented_mean,component__compact_v2a_transition__oriented_mean,contralateral_ar_response,contralateral_ar_percent_response,contralateral_ar_off,36,0.23388065643272243,0.16978723781073998,36,0.3802763151654159,0.022146652585110112,36,-0.20090546259644523,0.24002775972421866,36,0.4027885090993749,36,0.36268793356109974,positive,positive,negative,False,False,0.8591607895188081,0.26575983102132134,0.6005661427988293
AR,contralateral,True,compact_v2a_transition,norm,component__compact_v2a_transition__norm,contralateral_ar_response,contralateral_ar_percent_response,contralateral_ar_off,36,0.0002639736528586032,0.9987808783075305,36,-0.0673809356810411,0.6961949838470964,36,0.21512656998744203,0.20766174998300427,36,-0.13273395649546235,36,-0.03802237052904922,positive,negative,positive,True,False,0.9987808783075304,0.9022828748446065,0.6005661427988293
AR,ipsilateral,False,aperiodic_normalization,oriented_mean,component__aperiodic_normalization__oriented_mean,ipsilateral_ar_response,ipsilateral_ar_percent_response,ipsilateral_ar_off,36,0.1644555857309098,0.3378323043416358,36,0.2548083659662359,0.13367256035929762,36,-0.19004570786150224,0.26691828568836856,36,0.31260816407958525,36,0.23436709170637737,positive,positive,negative,False,False,0.9912437215571192,0.576708463148429,0.6005661427988293
AR,ipsilateral,False,aperiodic_normalization,norm,component__aperiodic_normalization__norm,ipsilateral_ar_response,ipsilateral_ar_percent_response,ipsilateral_ar_off,36,-0.05965804554604432,0.729625507224727,36,-0.15722218325576257,0.3597957121262012,36,0.19418275728433765,0.25645027467325304,36,-0.19060825493324024,36,-0.13345050788248392,negative,negative,positive,False,False,0.9912437215571192,0.6817181913970128,0.6005661427988293
AR,ipsilateral,False,beta_power_residual_suppression,oriented_mean,component__beta_power_residual_suppression__oriented_mean,ipsilateral_ar_response,ipsilateral_ar_percent_response,ipsilateral_ar_off,36,-0.0009228370010428503,0.995738037101309,36,-0.13757113696040218,0.4236464300456699,36,0.06960266502257206,0.686677956067809,36,-0.04322231653683981,36,-0.12928929291775124,negative,negative,positive,False,False,0.9987808783075304,0.7625635740822058,0.8379798785912246
AR,ipsilateral,False,beta_power_residual_suppression,norm,component__beta_power_residual_suppression__norm,ipsilateral_ar_response,ipsilateral_ar_percent_response,ipsilateral_ar_off,36,-0.19511410879191693,0.2541317572295558,36,-0.2402015259205523,0.1582142067740775,36,0.1355896071868287,0.43041722011089667,36,-0.3127247243888056,36,-0.2252513933530337,negative,negative,positive,False,False,0.9148743260264007,0.576708463148429,0.7378580916186801
AR,ipsilateral,False,cortico_stn_beta_desynchronization,oriented_mean,component__cortico_stn_beta_desynchronization__oriented_mean,ipsilateral_ar_response,ipsilateral_ar_percent_response,ipsilateral_ar_off,36,-0.056820392492781216,0.7420372562469474,36,-0.045255359956046085,0.7932570545009112,36,0.08793954523260032,0.6100472914097662,36,-0.11995980454579004,36,-0.03320112902470759,negative,negative,positive,False,False,0.9912437215571192,0.9022828748446065,0.7964186299473991
AR,ipsilateral,False,cortico_stn_beta_desynchronization,norm,component__cortico_stn_beta_desynchronization__norm,ipsilateral_ar_response,ipsilateral_ar_percent_response,ipsilateral_ar_off,36,-0.0287397808896202,0.8678522316723792,36,0.07207335104111043,0.676149986937634,36,-0.09956151156289991,0.5634495344472998,36,0.026691672561318356,36,0.05878694560849938,negative,positive,negative,True,False,0.9912437215571192,0.9022828748446065,0.7964186299473991
AR,ipsilateral,False,gamma_restoration,oriented_mean,component__gamma_restoration__oriented_mean,ipsilateral_ar_response,ipsilateral_ar_percent_response,ipsilateral_ar_off,36,0.12959268171787455,0.4512696987039802,36,0.4011094724309384,0.01532914754655076,36,-0.30953170326364604,0.06620176090755002,36,0.3558258060271013,36,0.3793465464257289,positive,positive,negative,False,True,0.9912437215571192,0.26575983102132134,0.5885632478671536
AR,ipsilateral,False,gamma_restoration,norm,component__gamma_restoration__norm,ipsilateral_ar_response,ipsilateral_ar_percent_response,ipsilateral_ar_off,36,-0.2693365704472205,0.11217319143797051,36,-0.24200658301281622,0.15501659217507044,36,-0.03589896266470321,0.835339067495107,36,-0.2931584329973403,36,-0.2498215372255398,negative,negative,negative,False,False,0.8591607895188081,0.576708463148429,0.893775825434554
AR,ipsilateral,False,coupling_asymmetry_transition,oriented_mean,component__coupling_asymmetry_transition__oriented_mean,ipsilateral_ar_response,ipsilateral_ar_percent_response,ipsilateral_ar_off,36,-0.013990603601505969,0.9354539188951865,36,-0.06531561964484062,0.7050831997584898,36,0.12359435150720825,0.4726613703835831,36,-0.09169745467439816,36,-0.04858337198192394,negative,negative,positive,False,False,0.9912437215571192,0.9022828748446065,0.756258192613733
AR,ipsilateral,False,coupling_asymmetry_transition,norm,component__coupling_asymmetry_transition__norm,ipsilateral_ar_response,ipsilateral_ar_percent_response,ipsilateral_ar_off,36,0.018214182047243618,0.9160291881937453,36,0.01342455423530321,0.9380602824387075,36,0.08377525081241731,0.6271320205841374,36,-0.029424245518090246,36,0.02570267724759457,positive,positive,positive,False,False,0.9912437215571192,0.9779957211334628,0.7964186299473991
AR,ipsilateral,False,compact_v2a_transition,oriented_mean,component__compact_v2a_transition__oriented_mean,ipsilateral_ar_response,ipsilateral_ar_percent_response,ipsilateral_ar_off,36,0.23388065643272243,0.16978723781073998,36,0.3802763151654159,0.022146652585110112,36,-0.20090546259644523,0.24002775972421866,36,0.4027885090993749,36,0.3626879335610997,positive,positive,negative,False,False,0.8591607895188081,0.26575983102132134,0.6005661427988293
AR,ipsilateral,False,compact_v2a_transition,norm,component__compact_v2a_transition__norm,ipsilateral_ar_response,ipsilateral_ar_percent_response,ipsilateral_ar_off,36,0.0002639736528586032,0.9987808783075305,36,-0.0673809356810411,0.6961949838470964,36,0.21512656998744203,0.20766174998300427,36,-0.13273395649546246,36,-0.03802237052904919,positive,negative,positive,True,False,0.9987808783075304,0.9022828748446065,0.6005661427988293
tremor,contralateral,True,aperiodic_normalization,oriented_mean,component__aperiodic_normalization__oriented_mean,contralateral_trem_response,contralateral_trem_percent_response,contralateral_trem_off,36,0.03840084118492692,0.8240371344249537,26,0.058902046406831755,0.775016307548314,36,0.08396847148098603,0.6263349682662773,36,-0.05630720367946687,26,0.07420718641814335,positive,positive,positive,False,False,0.9912437215571192,0.9022828748446065,0.7964186299473991
tremor,contralateral,True,aperiodic_normalization,norm,component__aperiodic_normalization__norm,contralateral_trem_response,contralateral_trem_percent_response,contralateral_trem_off,36,-0.10434435466800834,0.5447617460122155,26,-0.34330482669070583,0.08596907250854334,36,0.0802948508536929,0.6415594519020715,36,-0.3075677228421888,26,-0.34285597937115553,negative,negative,positive,False,False,0.9912437215571192,0.5710029870424134,0.7964186299473991
tremor,contralateral,True,beta_power_residual_suppression,oriented_mean,component__beta_power_residual_suppression__oriented_mean,contralateral_trem_response,contralateral_trem_percent_response,contralateral_trem_off,36,0.06851235127476156,0.6913426191394489,26,-0.5610290550149878,0.0028667412183936945,36,0.40153315125545264,0.015211325003678921,36,-0.5183280382110982,26,-0.5602012484387284,positive,negative,positive,True,True,0.9912437215571192,0.206405367724346,0.21904308005297649
tremor,contralateral,True,beta_power_residual_suppression,norm,component__beta_power_residual_suppression__norm,contralateral_trem_response,contralateral_trem_percent_response,contralateral_trem_off,36,-0.24257075721604768,0.15402685263059912,26,0.15443081241578094,0.45129700064067485,36,-0.2606558217516629,0.12468050723969205,36,-0.048699683343025685,26,0.14912184520106744,negative,positive,negative,True,False,0.8591607895188081,0.7709846277088227,0.6005661427988293
tremor,contralateral,True,cortico_stn_beta_desynchronization,oriented_mean,component__cortico_stn_beta_desynchronization__oriented_mean,contralateral_trem_response,contralateral_trem_percent_response,contralateral_trem_off,36,-0.08755825587623967,0.6116033646364025,26,0.19651668697053204,0.3359554759470411,36,-0.20443593862875523,0.23169337933148518,36,0.15042420882293403,26,0.217102503033376,negative,positive,negative,True,False,0.9912437215571192,0.6817181913970128,0.6005661427988293
tremor,contralateral,True,cortico_stn_beta_desynchronization,norm,component__cortico_stn_beta_desynchronization__norm,contralateral_trem_response,contralateral_trem_percent_response,contralateral_trem_off,36,-0.14178617869989263,0.4094436263641117,26,0.1944297841000485,0.3412145446918218,36,-0.22658316531353706,0.1838876753261482,36,0.08519436466177951,26,0.19139532756953076,negative,positive,negative,True,False,0.9912437215571192,0.6817181913970128,0.6005661427988293
tremor,contralateral,True,gamma_restoration,oriented_mean,component__gamma_restoration__oriented_mean,contralateral_trem_response,contralateral_trem_percent_response,contralateral_trem_off,36,-0.014681218130306047,0.9322748946528976,26,0.2222551557064955,0.2751550214848697,36,-0.1551616354720809,0.36620554163038205,36,0.20709115252939708,26,0.22279562722224297,negative,positive,negative,True,False,0.9912437215571192,0.6817181913970128,0.7324110832607641
tremor,contralateral,True,gamma_restoration,norm,component__gamma_restoration__norm,contralateral_trem_response,contralateral_trem_percent_response,contralateral_trem_off,36,-0.2028917892963016,0.2353141640332108,26,0.02712973731628584,0.8953359270986072,36,-0.1406152321465733,0.41336179174070314,36,-0.15606472383550282,26,0.015353211727480269,negative,positive,negative,True,False,0.9148743260264007,0.9621520410611898,0.7378580916186801
tremor,contralateral,True,coupling_asymmetry_transition,oriented_mean,component__coupling_asymmetry_transition__oriented_mean,contralateral_trem_response,contralateral_trem_percent_response,contralateral_trem_off,36,-0.09322135239375365,0.5886672351686537,26,-0.008016254836432726,0.9689978165796524,36,-0.014956883982550639,0.9310062399555832,36,-0.14489801290992563,26,-0.010852257818896129,negative,negative,negative,False,False,0.9912437215571192,0.9779957211334628,0.9441190038986195
tremor,contralateral,True,coupling_asymmetry_transition,norm,component__coupling_asymmetry_transition__norm,contralateral_trem_response,contralateral_trem_percent_response,contralateral_trem_off,36,-0.01827350373627557,0.9157566753566369,26,-0.13871606195218367,0.49916249844966615,36,0.09472693188948737,0.5826339792148837,36,-0.1745169927843916,26,-0.14050280048366887,negative,negative,positive,False,False,0.9912437215571192,0.7812978236603471,0.7964186299473991
tremor,contralateral,True,compact_v2a_transition,oriented_mean,component__compact_v2a_transition__oriented_mean,contralateral_trem_response,contralateral_trem_percent_response,contralateral_trem_off,36,-0.018803170511240083,0.9133239071313326,26,0.06691830124326449,0.745332020981938,36,-0.03122577533199168,0.8565351660414476,36,0.012762314513730966,26,0.07152986670454287,negative,positive,negative,True,False,0.9912437215571192,0.9022828748446065,0.893775825434554
tremor,contralateral,True,compact_v2a_transition,norm,component__compact_v2a_transition__norm,contralateral_trem_response,contralateral_trem_percent_response,contralateral_trem_off,36,-0.12341235856673068,0.473318627469647,26,-0.20354316628159613,0.318610190892734,36,0.03936022100671221,0.8197123504091591,36,-0.28006205198557377,26,-0.2032817405144254,negative,negative,positive,False,False,0.9912437215571192,0.6817181913970128,0.893775825434554
tremor,ipsilateral,False,aperiodic_normalization,oriented_mean,component__aperiodic_normalization__oriented_mean,ipsilateral_trem_response,ipsilateral_trem_percent_response,ipsilateral_trem_off,36,0.03840084118492692,0.8240371344249537,26,0.058902046406831755,0.775016307548314,36,0.08396847148098603,0.6263349682662773,36,-0.05630720367946686,26,0.07420718641814335,positive,positive,positive,False,False,0.9912437215571192,0.9022828748446065,0.7964186299473991
tremor,ipsilateral,False,aperiodic_normalization,norm,component__aperiodic_normalization__norm,ipsilateral_trem_response,ipsilateral_trem_percent_response,ipsilateral_trem_off,36,-0.10434435466800834,0.5447617460122155,26,-0.34330482669070583,0.08596907250854334,36,0.0802948508536929,0.6415594519020715,36,-0.30756772284218886,26,-0.34285597937115553,negative,negative,positive,False,False,0.9912437215571192,0.5710029870424134,0.7964186299473991
tremor,ipsilateral,False,beta_power_residual_suppression,oriented_mean,component__beta_power_residual_suppression__oriented_mean,ipsilateral_trem_response,ipsilateral_trem_percent_response,ipsilateral_trem_off,36,0.11070432049609157,0.5203768670080673,26,-0.5154650090094309,0.007037300554713833,36,0.415948505902352,0.011632173678581778,36,-0.4624127552905812,26,-0.5168702012265982,positive,negative,positive,True,True,0.9912437215571192,0.253342819969698,0.21904308005297649
tremor,ipsilateral,False,beta_power_residual_suppression,norm,component__beta_power_residual_suppression__norm,ipsilateral_trem_response,ipsilateral_trem_percent_response,ipsilateral_trem_off,36,-0.21241474159704063,0.213587248730318,26,0.10017133778320923,0.6263413974565538,36,-0.22291380231250812,0.19128227667229541,36,-0.05038230724138174,26,0.0933702067094018,negative,positive,negative,True,False,0.9148743260264007,0.9018283642844409,0.6005661427988293
tremor,ipsilateral,False,cortico_stn_beta_desynchronization,oriented_mean,component__cortico_stn_beta_desynchronization__oriented_mean,ipsilateral_trem_response,ipsilateral_trem_percent_response,ipsilateral_trem_off,36,-0.07565456550031585,0.6609970936740873,26,0.19825577269593497,0.33161044008057705,36,-0.19447623905453382,0.25571816907537465,36,0.15676117712577983,26,0.21763600111301015,negative,positive,negative,True,False,0.9912437215571192,0.6817181913970128,0.6005661427988293
tremor,ipsilateral,False,cortico_stn_beta_desynchronization,norm,component__cortico_stn_beta_desynchronization__norm,ipsilateral_trem_response,ipsilateral_trem_percent_response,ipsilateral_trem_off,36,-0.10686868693051609,0.5350186240652176,26,0.2180813499655285,0.2845022404136567,36,-0.21164361595220493,0.21529326555507264,36,0.12621008139592538,26,0.21619101201726443,negative,positive,negative,True,False,0.9912437215571192,0.6817181913970128,0.6005661427988293
tremor,ipsilateral,False,gamma_restoration,oriented_mean,component__gamma_restoration__oriented_mean,ipsilateral_trem_response,ipsilateral_trem_percent_response,ipsilateral_trem_off,36,-0.024997749789440027,0.8849353753470338,26,0.21077718991883612,0.3013377117195439,36,-0.16643182183238409,0.3319779890022627,36,0.20572734017190952,26,0.21078538556015436,negative,positive,negative,True,False,0.9912437215571192,0.6817181913970128,0.6829261488046546
tremor,ipsilateral,False,gamma_restoration,norm,component__gamma_restoration__norm,ipsilateral_trem_response,ipsilateral_trem_percent_response,ipsilateral_trem_off,36,-0.19879162927792782,0.24511328829812062,26,-0.06295490325958637,0.7599671969640638,36,-0.11375025303189716,0.5088919207763754,36,-0.18836482115751474,26,-0.07305596784812157,negative,negative,negative,False,False,0.9148743260264007,0.9022828748446065,0.7943924626938462
tremor,ipsilateral,False,coupling_asymmetry_transition,oriented_mean,component__coupling_asymmetry_transition__oriented_mean,ipsilateral_trem_response,ipsilateral_trem_percent_response,ipsilateral_trem_off,36,-0.09322135239375365,0.5886672351686537,26,-0.008016254836432726,0.9689978165796524,36,-0.014956883982550639,0.9310062399555832,36,-0.14489801290992554,26,-0.010852257818896075,negative,negative,negative,False,False,0.9912437215571192,0.9779957211334628,0.9441190038986195
tremor,ipsilateral,False,coupling_asymmetry_transition,norm,component__coupling_asymmetry_transition__norm,ipsilateral_trem_response,ipsilateral_trem_percent_response,ipsilateral_trem_off,36,-0.01827350373627557,0.9157566753566369,26,-0.13871606195218367,0.49916249844966615,36,0.09472693188948737,0.5826339792148837,36,-0.1745169927843916,26,-0.1405028004836688,negative,negative,positive,False,False,0.9912437215571192,0.7812978236603471,0.7964186299473991
tremor,ipsilateral,False,compact_v2a_transition,oriented_mean,component__compact_v2a_transition__oriented_mean,ipsilateral_trem_response,ipsilateral_trem_percent_response,ipsilateral_trem_off,36,-0.018803170511240083,0.9133239071313326,26,0.06691830124326449,0.745332020981938,36,-0.03122577533199168,0.8565351660414476,36,0.012762314513730959,26,0.07152986670454287,negative,positive,negative,True,False,0.9912437215571192,0.9022828748446065,0.893775825434554
tremor,ipsilateral,False,compact_v2a_transition,norm,component__compact_v2a_transition__norm,ipsilateral_trem_response,ipsilateral_trem_percent_response,ipsilateral_trem_off,36,-0.12341235856673068,0.473318627469647,26,-0.20354316628159613,0.318610190892734,36,0.03936022100671221,0.8197123504091591,36,-0.2800620519855737,26,-0.20328174051442544,negative,negative,positive,False,False,0.9912437215571192,0.6817181913970128,0.893775825434554
total_updrs,nonlateralized,False,aperiodic_normalization,oriented_mean,component__aperiodic_normalization__oriented_mean,sum_response,sum_percent_response,updrs_off_sum,36,0.07238898626561469,0.6748093124494428,36,0.16933404424904042,0.3234948508046433,36,-0.17175432523223183,0.3165245878658242,36,0.14649363085252412,36,0.1431326148948688,positive,positive,negative,False,False,0.9912437215571192,0.6817181913970128,0.6702873625393925
total_updrs,nonlateralized,False,aperiodic_normalization,norm,component__aperiodic_normalization__norm,sum_response,sum_percent_response,updrs_off_sum,36,-0.07755962814173001,0.6529896389749335,36,-0.19411463609036336,0.2566204051174235,36,0.27935944465483487,0.09893488067606691,36,-0.19957559703531205,36,-0.15280151192220975,negative,negative,positive,False,False,0.9912437215571192,0.6817181913970128,0.5936092840564015
total_updrs,nonlateralized,False,beta_power_residual_suppression,oriented_mean,component__beta_power_residual_suppression__oriented_mean,sum_response,sum_percent_response,updrs_off_sum,36,0.12188572213460583,0.4788508463770177,36,-0.13974494292854975,0.4162875960476279,36,0.2867866656291592,0.08991938509081515,36,0.02028179056725212,36,-0.09407303628513909,positive,negative,positive,True,False,0.9912437215571192,0.7625635740822058,0.5885632478671536
total_updrs,nonlateralized,False,beta_power_residual_suppression,norm,component__beta_power_residual_suppression__norm,sum_response,sum_percent_response,updrs_off_sum,36,-0.24893609351220342,0.1431761427133582,36,-0.23050180623270008,0.17621647485090886,36,0.12866644998497415,0.4545383098844149,36,-0.3196289049115485,36,-0.2127314919975571,negative,negative,positive,False,False,0.8591607895188081,0.576708463148429,0.756258192613733
total_updrs,nonlateralized,False,cortico_stn_beta_desynchronization,oriented_mean,component__cortico_stn_beta_desynchronization__oriented_mean,sum_response,sum_percent_response,updrs_off_sum,36,-0.2378320976397711,0.16248363001984073,36,-0.04125311968370472,0.8111948182976403,36,-0.09301189155540299,0.5895087785323048,36,-0.2199707620620972,36,-0.059008917340984096,negative,negative,negative,False,False,0.8591607895188081,0.9022828748446065,0.7964186299473991
total_updrs,nonlateralized,False,cortico_stn_beta_desynchronization,norm,component__cortico_stn_beta_desynchronization__norm,sum_response,sum_percent_response,updrs_off_sum,36,0.06972276478038893,0.6861648285404497,36,0.08095924737927052,0.6387950913681456,36,-0.2149608160391536,0.20802062943071808,36,0.16201463209178182,36,0.04441604343762176,positive,positive,negative,False,False,0.9912437215571192,0.9018283642844409,0.6005661427988293
total_updrs,nonlateralized,False,gamma_restoration,oriented_mean,component__gamma_restoration__oriented_mean,sum_response,sum_percent_response,updrs_off_sum,36,0.010845763410282722,0.9499418998255725,36,0.3506515173114901,0.03601569267204869,36,-0.4733271814708286,0.0035495468989789423,36,0.22177054171822996,36,0.3073030939217691,positive,positive,negative,False,True,0.9912437215571192,0.37044712462678653,0.21904308005297649
total_updrs,nonlateralized,False,gamma_restoration,norm,component__gamma_restoration__norm,sum_response,sum_percent_response,updrs_off_sum,36,-0.2788910591215557,0.09952570244370566,36,-0.2415885821476958,0.15575286625045112,36,-0.000258366365431675,0.9988067746829596,36,-0.299062646928098,36,-0.2455584506210886,negative,negative,negative,False,False,0.8591607895188081,0.576708463148429,0.9988067746829596
total_updrs,nonlateralized,False,coupling_asymmetry_transition,oriented_mean,component__coupling_asymmetry_transition__oriented_mean,sum_response,sum_percent_response,updrs_off_sum,36,0.021716695879684403,0.8999564808578592,36,-0.20753745667107998,0.2245354468329054,36,0.24728484175002047,0.1459355422614709,36,-0.07501751825896828,36,-0.1714884594332515,positive,negative,positive,True,False,0.9912437215571192,0.6736063404987163,0.6005661427988293
total_updrs,nonlateralized,False,coupling_asymmetry_transition,norm,component__coupling_asymmetry_transition__norm,sum_response,sum_percent_response,updrs_off_sum,36,0.08066201326739922,0.6400312063131773,36,-0.08260197280440995,0.631980798440592,36,0.237972860261526,0.1622276973657797,36,-0.006016203382964408,36,-0.042092427804185574,positive,negative,positive,True,False,0.9912437215571192,0.9018283642844409,0.6005661427988293
total_updrs,nonlateralized,False,compact_v2a_transition,oriented_mean,component__compact_v2a_transition__oriented_mean,sum_response,sum_percent_response,updrs_off_sum,36,0.13960733065511402,0.4167512976427236,36,0.2891069048154348,0.08723656746481316,36,-0.22969554338286421,0.17777589751285566,36,0.24547405275150758,36,0.2591687744830502,positive,positive,negative,False,False,0.9912437215571192,0.5710029870424134,0.6005661427988293
total_updrs,nonlateralized,False,compact_v2a_transition,norm,component__compact_v2a_transition__norm,sum_response,sum_percent_response,updrs_off_sum,36,-0.04239926338414574,0.8060477722289321,36,-0.12700053318678028,0.46044915265943576,36,0.25349282940901685,0.13575995265076085,36,-0.14873166279416986,36,-0.08600356991074355,negative,negative,positive,False,False,0.9912437215571192,0.7709846277088227,0.6005661427988293
axial,nonlateralized,False,aperiodic_normalization,oriented_mean,component__aperiodic_normalization__oriented_mean,axial_response,axial_percent_response,updrs_off_axial,36,-0.1352095216816156,0.4317227736332655,34,0.25184351201604627,0.15076411034634526,36,-0.2164487071529854,0.204814496322405,36,0.011457830880347727,34,0.2420409960217655,negative,positive,negative,True,False,0.9912437215571192,0.576708463148429,0.6005661427988293
axial,nonlateralized,False,aperiodic_normalization,norm,component__aperiodic_normalization__norm,axial_response,axial_percent_response,updrs_off_axial,36,0.1674517922364624,0.32898112697892734,34,-0.004914019746654562,0.9779957211334628,36,0.06347774584775052,0.7130251077413553,36,0.16784070545831103,34,-0.00836419319244212,positive,negative,positive,True,False,0.9912437215571192,0.9779957211334628,0.8394617873726317
axial,nonlateralized,False,beta_power_residual_suppression,oriented_mean,component__beta_power_residual_suppression__oriented_mean,axial_response,axial_percent_response,updrs_off_axial,36,0.25660035330341896,0.130867451005531,34,0.3383200018738173,0.05033757585525603,36,0.13746233427743554,0.42401665167415836,36,0.22316947620545569,34,0.3443656921583658,positive,positive,positive,False,False,0.8591607895188081,0.4530381826973042,0.7378580916186801
axial,nonlateralized,False,beta_power_residual_suppression,norm,component__beta_power_residual_suppression__norm,axial_response,axial_percent_response,updrs_off_axial,36,0.22907035588422622,0.1789918311497517,34,-0.16317882229997355,0.35647668596643667,36,0.40848920507396724,0.013383095554355713,36,-0.06134287388468232,34,-0.13662001874842705,positive,negative,positive,True,False,0.8591607895188081,0.6817181913970128,0.21904308005297649
axial,nonlateralized,False,cortico_stn_beta_desynchronization,oriented_mean,component__cortico_stn_beta_desynchronization__oriented_mean,axial_response,axial_percent_response,updrs_off_axial,36,-0.36698005993697475,0.027691610335851307,34,-0.240167326806164,0.17126672627125056,36,-0.18657458603251173,0.27591483570007075,36,-0.33082893897756754,34,-0.2486406655871135,negative,negative,negative,False,False,0.8591607895188081,0.576708463148429,0.6019960051637907
